name,description,category,badge,featured,github_url,website,tags,readme_url
CircleCI,Enable AI Agents to fix build failures from CircleCI.,Unknown,official,no,https://github.com/CircleCI-Public/mcp-server-circleci,/,,
Civic Nexus,Zero-setup MCP gateway securely connecting AI to your tools with authentication and workflows,Unknown,official,no,,/,,
ClickHouse,Query your ClickHouse database server.,Unknown,official,no,https://github.com/ClickHouse/mcp-clickhouse,/,,
CloudBase AI ToolKit,"Go from AI prompt to live app in one click. CloudBase AI ToolKit is the bridge that connects your AI IDE (Cursor, Copilot, etc.) directly to Tencent CloudBase.",Unknown,official,no,https://github.com/TencentCloudBase/CloudBase-AI-ToolKit,/,,
Cloudflare,"Deploy, configure & interrogate your resources on the Cloudflare developer platform (e.g. Workers/KV/R2/D1)",Unknown,official,no,https://github.com/cloudflare/mcp-server-cloudflare,/,,
CoinAPI MCP Server,"Access real-time and historical crypto market data from CoinAPI’s MCP server, built for developers and AI agents needing reliable, unified market coverage.",Unknown,official,no,,/,,
CoinGecko,"Official CoinGecko API MCP Server for Crypto Price & Market Data, across 200+ blokchain networks and 8M+ tokens.",Unknown,official,no,https://github.com/coingeckoofficial/mcp-server,/,,
Comet Opik,"Query and analyze your Opik logs, traces, prompts and all other telemtry data from your LLMs in natural language.",Unknown,official,no,https://github.com/comet-ml/opik-mcp,/,,
ConfigCat,"interacts with ConfigCat feature flag platform. Supports managing feature flags, configs, environments, products and organizations. Helps to integrate ConfigCat SDK, implement feature flags or remove zombie (stale) flags.",Unknown,official,no,https://github.com/configcat/mcp-server,/,,
Context 7,Up-to-date Docs For Any Cursor Prompt,Unknown,official,no,,,,
ContextStream,Persistent memory and semantic search for AI coding assistants across sessions,Unknown,official,no,/servers/github-com-neka-nat-freecad-mcp,/,,/servers/iamhenry/GenSpec-MCP
Convex,Introspect and query your apps deployed to Convex.,Unknown,official,no,https://github.com/get-convex/convex-mcp-server,/,,
Coresignal,"Access comprehensive B2B data on companies, employees, and job postings for your LLMs and AI workflows.",Unknown,official,no,https://github.com/Coresignal-com/coresignal-mcp/,/,,
Couchbase,Interact with the data stored in Couchbase clusters using natural language.,Unknown,official,no,https://github.com/Couchbase-Ecosystem/mcp-server-couchbase,/,,
CRIC Wuye AI,"Interact with capabilities of the CRIC Wuye AI platform, an intelligent assistant specifically for the property management industry.",Unknown,official,no,https://github.com/wuye-ai/mcp-server-wuye-ai,/,,
